CCDC Identifier,CSD Number,Chemical Formula,Name,Associated publication,Transition Metal,Unique Atoms,Removed Molecules,Charge,Multiplicity,Coordination,Coord GFN1-xTB(GAS),Coord GFN2-xTB(GAS),Coord GFN1-xTB(ALPB),Coord GFN2-xTB(ALPB)
168376,IGATUF,Zn(Ile)2(H2O)2,Diaqua-bis(L-isoleucinato)-zinc(ii),Inorganica Chimica Acta 334 (2002) 25-33,Zn(II),"Zn, C, H, O, N",0,0,1,4,4,4,4,4
168378,IGAVER,"Tp(Ph,Me)Zn−GlyPheBoc","(Hydrogen tris(5-methyl-3-phenyl-pyrazol-1-yl)borate)-(p-nitroanilido-glycine-N,N')-zinc(ii) acetonitrile solvate",Inorganica Chimica Acta 334 (2002) 25-33,Zn(II),"Zn, C, H, O, N, B",1 molecule,0,1,4,4,5,4,5
168379,IGAVIV,"Tp(Ph,Me)Zn−(p−nitroanilido−Gly","(Hydrogen tris(5-methyl-3-phenyl-pyrazol-1-yl)borate-N,N')-(p-nitroanilido-leucine-N,N')-zinc(ii) methanol solvate",Inorganica Chimica Acta 334 (2002) 25-33,Zn(II),"Zn, C, H, O, N, B",0,0,1,5,5,5,5,5
168380,IGAVOB,"Tp(Ph,Me)Zn−(p−nitroanilido−Leu",(Hydrogen tris(5-methyl-3-phenyl-pyrazol-1-yl)borate)-(N-benzoyl-L-tyrosinato-ethyl ester-O)-zinc(ii),Inorganica Chimica Acta 334 (2002) 25-33,Zn(II),"Zn, C, H, O, N, B",0,0,1,4,4,5,4,5
168381,IGAVUH,"Tp(Ph,Me)Zn−OC6H4−N-benzoyl-tyrosine-ethyl ester","(Δ/Λ)-(trans-I-(++++)-1,4,7,10-Tetraazacyclododecane-N,N',N'',N''')-(glycine-O)-zinc(ii) diperchlorate monohydrate",Inorganica Chimica Acta 334 (2002) 25-33,Zn(II),"Zn, C, H, O, N, B",1 molecule,0,1,4,4,4,4,4
725314,KUBTEH,[{Zn(Δ-cyclen)(HGly)}{Zn(Λ-cyclen)(HGly)}](ClO4)4 2H2O,"(Δ/Λ)-(trans-I-(++++)-1,4,7,10-Tetraazacyclododecane-N,N',N'',N''')-((S)-phenylalanine-O)-zinc(ii) diperchlorate",Inorganica Chimica Acta 362 (2009) 3860–3866,Zn(II),"Zn, C, H, O, N","1 molecule, 1 (ClO7)-, 3 (ClO4)-, 2 H2O",2,1,5,5,5,5,6
725315,KUBTIL,[{Zn(Δ-cyclen)(S-HPhe)}{Zn(Λ-cyclen)(SHPhe)}](ClO4)4,"(Δ)-(trans-I-(++++)-1,4,7,10-Tetraazacyclododecane)-((S)-alanine)-zinc(ii) diperchlorate",Inorganica Chimica Acta 362 (2009) 3860–3866,Zn(II),"Zn, C, H, O, N","1 molecule, 4 (ClO4)-",2,1,5,5,6,5,6
725316,KUBTOR,[Zn(Δ-cyclen)(S-HAla)](ClO4)2,cis-diaqua-bis(L-threoninato)-zinc(ii),Inorganica Chimica Acta 362 (2009) 3860–3866,Zn(II),"Zn, C, H, O, N",2 (ClO4)-,2,1,5,5,5,5,6
1557190,TREAZN01,bis(L-threonine)zinc(II),"hexakis(μ2-4-(Methylthio)-2-(4H-1,2,4-triazol-4-yl)butanoate-N,N')-hexqa-aqua-tri-zinc hexahydrate",Journal of Physics and Chemistry of Solids 135 (2019) 109077,Zn(II),"Zn, C, H, O, N",0,0,1,6,2,2,3,2
789414,UMOSIZ,[Zn3(L4)6(H2O)6],"catena-(bis((μ2-4,4'-Propane-1,3-diyldipyridine)-(5-methoxy-2-(((4-methylphenyl)sulfonyl)amino)-5-oxopentanoato))-zinc(ii))",Inorganica Chimica Acta 368 (2011) 21–28,Zn(II),"Zn, C, H, O, N, S",1 H2O,6,1,6,4,6,5,NOT CONVERGED
741985,OQOGUX,[Zn(bpp)2(L−Me)2],"catena-((μ2-4,4'-Propane-1,3-diyldipyridine)-bis(5-methoxy-2-(((4-methylphenyl)sulfonyl)amino)-5-oxopentanoato)-zinc(ii))",Inorganica Chimica Acta 363 (2010) 2631–2636,Zn(II),"Zn, C, H, O, N, S",0,0,1,6,5,6,5,6
742070,OQOHIM,[Zn(bpp)(L−Me)2],Diaqua-bis(dimethylsulfoxo)-bis(5-amino-orotato)-zinc(ii),Inorganica Chimica Acta 363 (2010) 2631–2636,Zn(II),"Zn, C, H, O, N, S",0,0,1,4,5,5,5,5
1222212,NOMMUX,[Zn(H3L)2(dmso)2(H2O)2],"(5,6-dimethyl-1H-benzimidazole)-iodo-bis(triphenylphosphine)-copper(i)","J. Chem. Soc., Dalton Trans., 1998, Pages 1327–1333",Zn(II),"Zn, C, H, O, N, S",0,0,1,4,4,4,4,4
755879,AKOZAC,Pd0(LH)2(MA),"bis(1-(2-Anilino-2-oxoethyl)-3-(1-naphthylmethyl)-2,3-dihydro-1H-imidazol-2-ylidene)-(η2-furan-2,5-dione)-palladium(0)","Organometallics, 29(17), 3901-3911",Pd(0),"Pd, C, H, O, N",0,0,1,3,2,3,2,3
861279,ABARUT,[Cd(TL)(N3)2(H2O)],aqua-diazido-(N-(2-(morpholin-4-yl)ethyl)-1-(pyridin-2-yl)ethanimine)-cadmium(ii),"Nura Suleiman Gwaram CCDC 861279:  CSD Communication, 2016",Cd(II),"Cd, C, H, O, N",1 molecule,0,1,5,5,5,5,5
1471487,ALUYIR,(dfebp)2Pt,bis(t-butyl(bis(pentafluoroethyl))phosphine)-platinum(0),Polyhedron 116 (2016) 197–203,Pt(0),"Pt, C, H, N, P, F",1 molecule,0,1,2,2,2,2,2
2104348,ABAYUB,[Cu(L)(PPh3)2I],"(5,6-dimethyl-1H-benzimidazole)-iodo-bis(triphenylphosphine)-copper(i)","J. G. Malecki CCDC 2104348: CSD Communication, 2021",Cu(I),"Cu, C, H, N, I",0,0,1,4,4,4,4,4
